動畫名,年份,月份,集數,星級,評分人數,導演監督,製作廠商,作品分類1,作品分類2,作品分類3,作品分類4,作品分類5,作品分類6,原作載體,新續作,平均觀看數(萬),總觀看數(萬)
出租女友,2020,夏番,12,4.7,7400,古賀一臣,TMS ENTERTAINMENT,喜劇,戀愛,青春,,,,漫畫改編,續作,35.5,425.5
輝夜姬想讓人告白 ー超級浪漫ー,2022,春番,13,5.0,26900,畠山守,A-1 Pictures,校園,喜劇,戀愛,,,,漫畫改編,續作,40.8,529.9
86－不存在的戰區－,2021,春番,26,5.0,36300,石井俊匡,A-1 Pictures,動作,科幻,機甲,戰爭,,,小說改編,續作,41.1,1069.5
堀與宮村,2021,冬番,13,4.9,15400,石濱真史,CloverWorks,校園,戀愛,青春,,,,漫畫改編,續作,41.5,539.4
我想成為影之強者！,2022,秋番,20,4.9,26000,中西和也,Nexus,動作,奇幻,異世界,魔法,校園,血腥暴力,小說改編,新作,43.4,868.4
Re：從零開始的異世界生活 第二季,2020,夏番,25,4.9,14400,渡邊政治,WHITE FOX,動作,冒險,奇幻,異世界,魔法,,小說改編,續作,47.0,1173.9
Lycoris Recoil 莉可麗絲,2022,夏番,13,4.9,36400,足立慎吾,A-1 Pictures,動作,科幻,,,,,原創作品,新作,47.8,621.9
世界頂尖的暗殺者轉生為異世界貴族,2021,秋番,12,4.8,13600,田村正文,SILVER LINK.×studioぱれっと,冒險,奇幻,異世界,,,,小說改編,新作,48.4,581.0
刀劍神域 Alicization War of Underworld -THE LAST SEASON-,2020,夏番,12,3.4,12900,小野學,A-1 Pictures,動作,冒險,奇幻,魔法,科幻,,小說改編,續作,48.7,584.5
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～,2020,夏番,13,4.7,9500,大沼心、田村正文,SILVER LINK.,奇幻,異世界,魔法,校園,,,小說改編,續作,49.2,639.9
鬼滅之刃 刀匠村篇,2023,春番,11,4.8,18600,外崎春雄,ufotable,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,49.9,548.8
怕痛的我，把防禦力點滿就對了,2020,冬番,12,4.8,9400,大沼心、湊未來,SILVER LINK.,冒險,奇幻,喜劇,,,,小說改編,續作,53.3,639.1
無職轉生，到了異世界就拿出真本事,2021,冬番,24,4.9,25800,岡本学,StudioBind,動作,冒險,奇幻,異世界,魔法,,小說改編,新作,54.0,1296.8
進擊的巨人 The Final Season,2020,秋番,29,4.9,24800,林祐一郎,MAPPA,動作,冒險,戰爭,血腥暴力,,,原創作品,新作,59.3,1721.0
關於我轉生變成史萊姆這檔事 第二季,2021,冬番,26,4.8,14100,中山敦史,8bit,冒險,奇幻,異世界,魔法,喜劇,,小說改編,續作,61.8,1607.8
孤獨搖滾！,2022,秋番,12,5.0,44800,齋藤圭一郎,CloverWorks,校園,喜劇,青春,勵志,音樂,,漫畫改編,新作,63.2,757.9
戀上換裝娃娃,2022,冬番,12,5.0,41200,篠原啓輔,CloverWorks,校園,戀愛,青春,,,,漫畫改編,新作,63.3,759.1
【我推的孩子】,2023,春番,11,4.9,52600,平牧大輔,動畫工房 (DOGAKOBO),親情,偶像,懸疑,,,,漫畫改編,新作,64.2,706.5
SPY×FAMILY 間諜家家酒,2022,春番,25,4.9,52700,古橋一浩,WIT STUDIO×CloverWorks,動作,喜劇,親情,,,,漫畫改編,續作,70.4,1760.3
輝夜姬想讓人告白～天才們的戀愛頭腦戰～ 第二季,2020,春番,12,5.0,20200,畠山守,A-1 Pictures,校園,喜劇,戀愛,,,,漫畫改編,續作,77.6,930.6
鬼滅之刃 遊郭篇,2021,秋番,11,4.9,18000,外崎春雄,ufotable,動作,冒險,奇幻,血腥暴力,,,漫畫改編,續作,92.8,1021.2
咒術迴戰,2020,秋番,24,4.9,20200,朴性厚,MAPPA,動作,奇幻,超能力,校園,血腥暴力,靈異神怪,漫畫改編,新作,93.3,2238.1
